id_page;source;followers;date;interactions;posttype;link;v7;id_article
pg_429;Confederazione Sovranit«ˇ Popolare;2781;Tue Nov 17 2020 15:34:56 GMT+0000;2;Facebook;https://www.facebook.com/groups/132037887151925/permalink/1267087156980320;145;CT_145
pg_429;Confederazione Sovranit«ˇ Popolare;2557;Thu Apr 30 2020 12:40:40 GMT+0000;1;Facebook;https://www.facebook.com/groups/132037887151925/permalink/1102342240121480;195;CT_195
pg_429;Confederazione Sovranit«ˇ Popolare;2557;Thu Apr 30 2020 08:25:33 GMT+0000;1;Facebook;https://www.facebook.com/groups/132037887151925/permalink/1102192303469807;195;CT_195
pg_43;A.Ge. Associazione Italiana Genitori Imperia;581;Thu Oct 22 2020 21:04:03 GMT+0000;31;Facebook;https://www.facebook.com/groups/80276553617/permalink/10158632511933618;186;CT_186
pg_430;Confederazione Veneta Intergruppi - Comunit«ˇ Marciane;1629;Tue Oct 20 2020 22:22:53 GMT+0000;2;Facebook;https://www.facebook.com/groups/208199293043389/permalink/933684000494911;9;CT_9
pg_430;Confederazione Veneta Intergruppi - Comunit«ˇ Marciane;1625;Sun Nov 15 2020 03:50:23 GMT+0000;1;Facebook;https://www.facebook.com/groups/208199293043389/permalink/955049971691647;121;CT_121
pg_430;Confederazione Veneta Intergruppi - Comunit«ˇ Marciane;1613;Thu Oct 01 2020 21:29:48 GMT+0000;0;Facebook;https://www.facebook.com/groups/208199293043389/permalink/918761228653855;166;CT_166
pg_431;Connecting and healing with the Power of Eight∂©;6620;Wed Oct 28 2020 10:36:48 GMT+0000;1;Facebook;https://www.facebook.com/groups/1068844430161141/permalink/1245832505795665;34;CT_34
pg_431;Connecting and healing with the Power of Eight∂©;6602;Tue Oct 27 2020 18:49:51 GMT+0000;0;Facebook;https://www.facebook.com/groups/1068844430161141/permalink/1245302052515377;38;CT_38
pg_431;Connecting and healing with the Power of Eight∂©;6704;Sun Nov 08 2020 23:29:18 GMT+0000;2;Facebook;https://www.facebook.com/groups/1068844430161141/permalink/1255912941454288;75;CT_75
pg_432;Conoscenza «˘ potere;1112;Sun Sep 13 2020 12:29:27 GMT+0000;16;Facebook;https://www.facebook.com/groups/131755073547426/permalink/3472563676133199;14;CT_14
pg_433;Conoscenza e pensiero;0;Sat Sep 07 2019 11:29:15 GMT+0000;22;Facebook;https://www.facebook.com/waffenkappa/posts/654089048428374;160;CT_160
pg_434;Conoscenze al confine;2905;Wed Oct 21 2020 14:14:33 GMT+0000;0;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3319972124706070;8;CT_8
pg_434;Conoscenze al confine;2905;Thu Oct 22 2020 06:18:25 GMT+0000;1;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3321743504528932;9;CT_9
pg_434;Conoscenze al confine;2904;Tue Oct 27 2020 18:09:00 GMT+0000;2;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3336673953035887;19;CT_19
pg_434;Conoscenze al confine;2544;Fri May 29 2020 15:37:00 GMT+0000;4;Facebook;https://www.facebook.com/groups/645493445487298/permalink/2905384352831518;22;CT_22
pg_434;Conoscenze al confine;2906;Sat Oct 03 2020 13:25:59 GMT+0000;6;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3268208329882450;24;CT_24
pg_434;Conoscenze al confine;2905;Wed Oct 21 2020 05:23:05 GMT+0000;1;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3318991018137514;24;CT_24
pg_434;Conoscenze al confine;2905;Mon Oct 26 2020 20:15:23 GMT+0000;2;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3334220343281248;38;CT_38
pg_434;Conoscenze al confine;2592;Sat Jul 04 2020 17:25:58 GMT+0000;17;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3003337979702821;48;CT_48
pg_434;Conoscenze al confine;2904;Fri Nov 06 2020 06:19:20 GMT+0000;2;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3362548960448386;75;CT_75
pg_434;Conoscenze al confine;2906;Fri Nov 13 2020 10:40:32 GMT+0000;6;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3382222548481027;105;CT_105
pg_434;Conoscenze al confine;2903;Thu Nov 05 2020 00:05:06 GMT+0000;0;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3359150207454928;114;CT_114
pg_434;Conoscenze al confine;2874;Mon Aug 24 2020 12:20:28 GMT+0000;1;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3146785975358020;123;CT_123
pg_434;Conoscenze al confine;2903;Wed Oct 28 2020 22:17:26 GMT+0000;10;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3339882262715056;128;CT_128
pg_434;Conoscenze al confine;2845;Thu Aug 27 2020 13:07:15 GMT+0000;52;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3155748811128403;136;CT_136
pg_434;Conoscenze al Confine;8562;Tue Nov 03 2020 09:24:20 GMT+0000;44;Facebook;https://www.facebook.com/conoscenzealconfine.it/posts/3552800491479234;191;CT_191
pg_434;Conoscenze al confine;2903;Tue Nov 03 2020 09:24:26 GMT+0000;12;Facebook;https://www.facebook.com/groups/645493445487298/permalink/3354763614560254;191;CT_191
pg_435;Conoscere la costituzione per poterla difendere e attuare :  parliamone;1301;Fri Oct 16 2020 20:45:24 GMT+0000;6;Facebook;https://www.facebook.com/groups/509486296365821/permalink/680267349287714;117;CT_117
pg_436;CONSIGLI SULLA SALUTE L' ALIMENTAZIONE  L'ATTIVITA' FISICA;3600;Wed Oct 14 2020 12:06:29 GMT+0000;7;Facebook;https://www.facebook.com/groups/401861863322665/permalink/1694550830720422;39;CT_39
pg_436;CONSIGLI SULLA SALUTE L' ALIMENTAZIONE  L'ATTIVITA' FISICA;3600;Wed Oct 14 2020 12:50:24 GMT+0000;1;Facebook;https://www.facebook.com/groups/401861863322665/permalink/1694588927383279;39;CT_39
pg_437;consumatori ambientalisti animalisti naturisti  Emilia Romagna;1603;Sun Oct 25 2020 17:12:33 GMT+0000;1;Facebook;https://www.facebook.com/groups/592486457825846/permalink/909361656138323;26;CT_26
pg_438;CONSUMATORI E PENSIONATI PER IL RISPARMIO;2933;Sun Nov 15 2020 08:10:06 GMT+0000;1;Facebook;https://www.facebook.com/groups/788523057827849/permalink/4001118973234892;115;CT_115
pg_439;Consumatori IN Movimento;0;Mon Mar 02 2020 09:33:34 GMT+0000;0;Facebook;https://www.facebook.com/groups/290523544438144/permalink/1566882123468940;120;CT_120
pg_44;É?? Fatto;81837;Sat Oct 24 2020 17:30:27 GMT+0000;0;Facebook;https://www.facebook.com/223641527805031/posts/1748610015308167;9;CT_9
pg_440;Contatos Imediatos –??˜;46788;Sat Nov 14 2020 16:47:58 GMT+0000;123;Facebook;https://www.facebook.com/groups/551585348710990/permalink/881561495713372;125;CT_125
pg_441;CONTE Éê Orgoglio Italiano –??©–??˚;9603;Tue Oct 27 2020 18:15:35 GMT+0000;0;Facebook;https://www.facebook.com/groups/241661283683173/permalink/386848705831096;38;CT_38
pg_442;CONTE IL PI«? GRANDE PRESIDENTE DELLA STORIA ITALIANA;0;Thu May 28 2020 20:44:59 GMT+0000;34;Facebook;https://www.facebook.com/groups/1507883336043177/permalink/1578725608958949;66;CT_66
pg_443;CONTRO LA PRIVATIZZAZIONE DELL'ACQUA!;3805;Thu Oct 15 2020 20:30:17 GMT+0000;3;Facebook;https://www.facebook.com/groups/107901269966/permalink/10151306422284967;117;CT_117
pg_444;CONTRO LA TIRANNIA FISCALE E NON SOLO;612;Sun May 24 2020 07:52:15 GMT+0000;7;Facebook;https://www.facebook.com/groups/571720913378005/permalink/657918324758263;66;CT_66
pg_444;CONTRO LA TIRANNIA FISCALE E NON SOLO;595;Fri Nov 13 2020 15:54:17 GMT+0000;0;Facebook;https://www.facebook.com/groups/571720913378005/permalink/777492106134217;109;CT_109
pg_445;Contro ogni forma di manipolazione;0;Sun Jun 14 2020 04:37:45 GMT+0000;20;Facebook;https://www.facebook.com/1454289931533737/posts/2421421541487233;108;CT_108
pg_445;Contro ogni forma di manipolazione;1682;Wed Oct 28 2020 17:27:05 GMT+0000;12;Facebook;https://www.facebook.com/1454289931533737/posts/2530780860551300;132;CT_132
pg_446;ControCensura;979;Sun Jan 05 2020 11:41:41 GMT+0000;16;Facebook;https://www.facebook.com/179957315812737/posts/782331325575330;95;CT_95
pg_446;ControCensura;1504;Sun Nov 08 2020 07:52:50 GMT+0000;1;Facebook;https://www.facebook.com/179957315812737/posts/1014140952394365;178;CT_178
pg_447;Controcorrente radio e tv;5765;Thu Oct 15 2020 10:43:53 GMT+0000;32;Facebook;https://www.facebook.com/Controcorrente11/posts/3714336301930433;79;CT_79
pg_447;Controcorrente radio e tv;0;Tue Aug 25 2020 22:02:29 GMT+0000;7;Facebook;https://www.facebook.com/Controcorrente11/posts/3554063107957754;123;CT_123
pg_448;ControInformazione;68803;Fri Oct 23 2020 11:23:01 GMT+0000;1;Facebook;https://www.facebook.com/Controinformazione/posts/3954566561238780;9;CT_9
pg_448;ControInformazione;68891;Mon Sep 07 2020 07:40:55 GMT+0000;106;Facebook;https://www.facebook.com/Controinformazione/posts/3809569022405202;14;CT_14
pg_448;ControInformazione;68833;Thu Oct 29 2020 10:42:51 GMT+0000;4;Facebook;https://www.facebook.com/Controinformazione/posts/3972120339483402;15;CT_15
pg_448;Controinformazione;0;Sat Aug 08 2020 20:36:54 GMT+0000;152;Facebook;https://www.facebook.com/controinformazione.it/posts/156774316049895;24;CT_24
pg_448;ControInformazione;68837;Sun Oct 25 2020 07:27:12 GMT+0000;6;Facebook;https://www.facebook.com/Controinformazione/posts/3960131784015591;33;CT_33
pg_448;ControInformazione;68793;Wed Oct 21 2020 14:58:50 GMT+0000;7;Facebook;https://www.facebook.com/Controinformazione/posts/3949214068440696;42;CT_42
pg_448;ControInformazione;68813;Fri Nov 06 2020 15:13:32 GMT+0000;3;Facebook;https://www.facebook.com/Controinformazione/posts/3996190070409762;61;CT_61
pg_448;ControInformazione;68813;Fri Nov 06 2020 10:55:28 GMT+0000;10;Facebook;https://www.facebook.com/Controinformazione/posts/3995562383805864;75;CT_75
pg_448;ControInformazione;68840;Thu Nov 12 2020 21:07:55 GMT+0000;74;Facebook;https://www.facebook.com/Controinformazione/posts/4014618741900228;178;CT_178
pg_448;ControInformazione;68827;Sat Nov 07 2020 16:29:34 GMT+0000;8;Facebook;https://www.facebook.com/Controinformazione/posts/3999317740096995;178;CT_178
pg_449;ControInformo;26378;Sat Oct 24 2020 20:48:56 GMT+0000;28;Facebook;https://www.facebook.com/controinformo/posts/2771778069711525;3;CT_3
pg_449;ControInformo;26378;Sat Oct 24 2020 20:48:56 GMT+0000;28;Facebook;https://www.facebook.com/controinformo/posts/2771778069711525;11;CT_11
pg_449;ControInformo;26375;Mon Oct 26 2020 15:19:08 GMT+0000;79;Facebook;https://www.facebook.com/controinformo/posts/2773413019548030;38;CT_38
pg_449;ControInformo;26357;Thu Nov 05 2020 19:38:42 GMT+0000;30;Facebook;https://www.facebook.com/controinformo/posts/2783244765231522;75;CT_75
pg_449;ControInformo;26351;Thu Nov 12 2020 16:30:17 GMT+0000;16;Facebook;https://www.facebook.com/controinformo/posts/2790076847881647;83;CT_83
pg_449;ControInformo;26381;Wed Oct 21 2020 14:01:05 GMT+0000;34;Facebook;https://www.facebook.com/controinformo/posts/2768570896698909;132;CT_132
pg_449;ControInformo;26344;Tue Nov 17 2020 15:31:04 GMT+0000;11;Facebook;https://www.facebook.com/controinformo/posts/2795211514034847;146;CT_146
pg_449;ControInformo;26342;Mon Nov 16 2020 20:07:31 GMT+0000;22;Facebook;https://www.facebook.com/controinformo/posts/2794332304122768;153;CT_153
pg_449;ControInformo;26344;Tue Nov 17 2020 20:14:30 GMT+0000;16;Facebook;https://www.facebook.com/controinformo/posts/2795415487347783;171;CT_171
pg_449;ControInformo;26342;Mon Nov 16 2020 20:07:31 GMT+0000;22;Facebook;https://www.facebook.com/controinformo/posts/2794332304122768;172;CT_172
pg_45;É??É??É?©É?ÓÉ?? Politica  valori e Targed Individuals É??É??É?©É?ÓÉ??;0;Sat Aug 15 2020 05:05:37 GMT+0000;0;Facebook;https://www.facebook.com/groups/558029827604070/permalink/4135906416483042;2;CT_2
pg_450;Controllo mentale  telepatia artificiale ed operazioni psicologiche segrete;5998;Sat Aug 22 2020 01:59:01 GMT+0000;5;Facebook;https://www.facebook.com/groups/267114049968154/permalink/3576897655656427;108;CT_108
pg_451;"Coordinamento Calabrese Acqua Pubblica ""Bruno Arcuri""";1647;Wed Nov 11 2020 10:41:33 GMT+0000;0;Facebook;https://www.facebook.com/groups/110908138934787/permalink/5427995470559334;117;CT_117
pg_452;Coordinamento Comitati  Associazioni e Cittadini per Forlanini Bene Comune;1268;Sat Nov 14 2020 12:04:33 GMT+0000;0;Facebook;https://www.facebook.com/groups/1713833662188601/permalink/2803889159849707;117;CT_117
pg_453;Coordinamento dei presidi in difesa della terra e degli ulivi;1404;Thu Nov 05 2020 20:45:47 GMT+0000;0;Facebook;https://www.facebook.com/groups/1600656330192082/permalink/2799153837008986;75;CT_75
pg_453;Coordinamento dei presidi in difesa della terra e degli ulivi;1407;Thu Sep 17 2020 21:01:52 GMT+0000;1;Facebook;https://www.facebook.com/groups/1600656330192082/permalink/2754702281454142;117;CT_117
pg_453;Coordinamento dei presidi in difesa della terra e degli ulivi;1404;Tue Nov 10 2020 19:06:10 GMT+0000;0;Facebook;https://www.facebook.com/groups/1600656330192082/permalink/2803873879870315;117;CT_117
pg_453;Coordinamento dei presidi in difesa della terra e degli ulivi;1404;Thu Nov 12 2020 10:25:26 GMT+0000;0;Facebook;https://www.facebook.com/groups/1600656330192082/permalink/2805409423050094;117;CT_117
pg_453;Coordinamento dei presidi in difesa della terra e degli ulivi;1404;Fri Nov 13 2020 09:12:04 GMT+0000;0;Facebook;https://www.facebook.com/groups/1600656330192082/permalink/2806360352955001;117;CT_117
pg_454;Coordinamento per la Democrazia Costituzionale di Messina;785;Sat Nov 14 2020 19:18:31 GMT+0000;1;Facebook;https://www.facebook.com/groups/1044328338931859/permalink/3676844682346865;117;CT_117
pg_455;CORAGGIO ITALIA;837;Thu Oct 01 2020 10:00:15 GMT+0000;2;Facebook;https://www.facebook.com/groups/728770953843229/permalink/3227595167294116;166;CT_166
pg_456;Cormons;1596;Wed Oct 21 2020 07:08:23 GMT+0000;4;Facebook;https://www.facebook.com/groups/1956922697868434/permalink/2951985131695514;13;CT_13
pg_457;Corona Virus News;1747;Mon Oct 26 2020 20:18:37 GMT+0000;0;Facebook;https://www.facebook.com/Coronavirusnewsnelmondo/posts/184001406550393;9;CT_9
pg_457;Corona Virus News;1747;Thu Oct 22 2020 17:07:59 GMT+0000;0;Facebook;https://www.facebook.com/Coronavirusnewsnelmondo/posts/182994616651072;9;CT_9
pg_457;Corona Virus News;1747;Tue Oct 20 2020 20:02:49 GMT+0000;0;Facebook;https://www.facebook.com/Coronavirusnewsnelmondo/posts/182538580030009;9;CT_9
pg_458;Corona Virus Ticino;881;Mon Nov 02 2020 08:03:10 GMT+0000;22;Facebook;https://www.facebook.com/groups/634226590707716/permalink/818232592307114;128;CT_128
pg_459;Coronavirus Covid-19 Gruppo di discussione;4581;Fri Oct 16 2020 11:53:05 GMT+0000;5;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3712360248776010;2;CT_2
pg_459;Coronavirus Covid-19 Gruppo di discussione;4526;Wed Oct 14 2020 14:35:00 GMT+0000;7;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3707146102630758;57;CT_57
pg_459;Coronavirus Covid-19 Gruppo di discussione;4526;Wed Oct 14 2020 14:35:00 GMT+0000;7;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3707146102630758;58;CT_58
pg_459;Coronavirus Covid-19 Gruppo di discussione;5248;Thu Nov 05 2020 17:05:32 GMT+0000;7;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3775781032433931;69;CT_69
pg_459;Coronavirus Covid-19 Gruppo di discussione;5458;Tue Nov 10 2020 14:33:06 GMT+0000;11;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3792722780739756;82;CT_82
pg_459;Coronavirus Covid-19 Gruppo di discussione;5458;Tue Nov 10 2020 15:54:27 GMT+0000;3;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3792911587387542;84;CT_84
pg_459;Coronavirus Covid-19 Gruppo di discussione;5565;Sat Nov 14 2020 13:33:48 GMT+0000;8;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3804432239568810;95;CT_95
pg_459;Coronavirus Covid-19 Gruppo di discussione;5525;Thu Nov 12 2020 17:24:06 GMT+0000;24;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3799110310101003;119;CT_119
pg_459;Coronavirus Covid-19 Gruppo di discussione;5567;Fri Nov 13 2020 15:16:41 GMT+0000;1;Facebook;https://www.facebook.com/groups/3028863217125720/permalink/3801771833168184;133;CT_133
